Time	Node	Type	Packets	
1	0	CacheHits	0
1	0	CacheMisses	0
1	1	CacheHits	0
1	1	CacheMisses	0
1	2	CacheHits	0
1	2	CacheMisses	0
1	3	CacheHits	0
1	3	CacheMisses	0
1	4	CacheHits	0
1	4	CacheMisses	0
2	0	CacheHits	0
2	0	CacheMisses	147
2	1	CacheHits	0
2	1	CacheMisses	113
2	2	CacheHits	1
2	2	CacheMisses	113
2	3	CacheHits	0
2	3	CacheMisses	113
2	4	CacheHits	0
2	4	CacheMisses	113
3	0	CacheHits	0
3	0	CacheMisses	146
3	1	CacheHits	0
3	1	CacheMisses	99
3	2	CacheHits	11
3	2	CacheMisses	101
3	3	CacheHits	0
3	3	CacheMisses	98
3	4	CacheHits	0
3	4	CacheMisses	98
4	0	CacheHits	0
4	0	CacheMisses	147
4	1	CacheHits	0
4	1	CacheMisses	109
4	2	CacheHits	5
4	2	CacheMisses	107
4	3	CacheHits	0
4	3	CacheMisses	109
4	4	CacheHits	0
4	4	CacheMisses	109
5	0	CacheHits	0
5	0	CacheMisses	146
5	1	CacheHits	0
5	1	CacheMisses	107
5	2	CacheHits	5
5	2	CacheMisses	108
5	3	CacheHits	0
5	3	CacheMisses	108
5	4	CacheHits	0
5	4	CacheMisses	108
6	0	CacheHits	0
6	0	CacheMisses	147
6	1	CacheHits	0
6	1	CacheMisses	95
6	2	CacheHits	5
6	2	CacheMisses	96
6	3	CacheHits	0
6	3	CacheMisses	95
6	4	CacheHits	0
6	4	CacheMisses	95
7	0	CacheHits	0
7	0	CacheMisses	146
7	1	CacheHits	0
7	1	CacheMisses	107
7	2	CacheHits	8
7	2	CacheMisses	105
7	3	CacheHits	0
7	3	CacheMisses	106
7	4	CacheHits	0
7	4	CacheMisses	106
8	0	CacheHits	0
8	0	CacheMisses	147
8	1	CacheHits	0
8	1	CacheMisses	99
8	2	CacheHits	8
8	2	CacheMisses	99
8	3	CacheHits	0
8	3	CacheMisses	100
8	4	CacheHits	0
8	4	CacheMisses	100
9	0	CacheHits	0
9	0	CacheMisses	146
9	1	CacheHits	0
9	1	CacheMisses	119
9	2	CacheHits	0
9	2	CacheMisses	119
9	3	CacheHits	0
9	3	CacheMisses	119
9	4	CacheHits	0
9	4	CacheMisses	119
10	0	CacheHits	0
10	0	CacheMisses	147
10	1	CacheHits	0
10	1	CacheMisses	89
10	2	CacheHits	0
10	2	CacheMisses	89
10	3	CacheHits	0
10	3	CacheMisses	89
10	4	CacheHits	0
10	4	CacheMisses	89
11	0	CacheHits	0
11	0	CacheMisses	146
11	1	CacheHits	0
11	1	CacheMisses	104
11	2	CacheHits	0
11	2	CacheMisses	104
11	3	CacheHits	0
11	3	CacheMisses	103
11	4	CacheHits	0
11	4	CacheMisses	103
12	0	CacheHits	0
12	0	CacheMisses	147
12	1	CacheHits	0
12	1	CacheMisses	98
12	2	CacheHits	0
12	2	CacheMisses	98
12	3	CacheHits	0
12	3	CacheMisses	99
12	4	CacheHits	0
12	4	CacheMisses	99
13	0	CacheHits	0
13	0	CacheMisses	146
13	1	CacheHits	0
13	1	CacheMisses	135
13	2	CacheHits	0
13	2	CacheMisses	136
13	3	CacheHits	0
13	3	CacheMisses	135
13	4	CacheHits	0
13	4	CacheMisses	135
14	0	CacheHits	0
14	0	CacheMisses	147
14	1	CacheHits	0
14	1	CacheMisses	95
14	2	CacheHits	0
14	2	CacheMisses	94
14	3	CacheHits	0
14	3	CacheMisses	95
14	4	CacheHits	0
14	4	CacheMisses	95
15	0	CacheHits	0
15	0	CacheMisses	146
15	1	CacheHits	0
15	1	CacheMisses	111
15	2	CacheHits	0
15	2	CacheMisses	111
15	3	CacheHits	0
15	3	CacheMisses	109
15	4	CacheHits	0
15	4	CacheMisses	109
16	0	CacheHits	0
16	0	CacheMisses	147
16	1	CacheHits	0
16	1	CacheMisses	108
16	2	CacheHits	0
16	2	CacheMisses	108
16	3	CacheHits	0
16	3	CacheMisses	109
16	4	CacheHits	0
16	4	CacheMisses	109
17	0	CacheHits	0
17	0	CacheMisses	146
17	1	CacheHits	0
17	1	CacheMisses	122
17	2	CacheHits	0
17	2	CacheMisses	122
17	3	CacheHits	0
17	3	CacheMisses	123
17	4	CacheHits	0
17	4	CacheMisses	123
18	0	CacheHits	0
18	0	CacheMisses	147
18	1	CacheHits	0
18	1	CacheMisses	130
18	2	CacheHits	0
18	2	CacheMisses	130
18	3	CacheHits	0
18	3	CacheMisses	125
18	4	CacheHits	0
18	4	CacheMisses	125
19	0	CacheHits	0
19	0	CacheMisses	146
19	1	CacheHits	0
19	1	CacheMisses	122
19	2	CacheHits	0
19	2	CacheMisses	122
19	3	CacheHits	0
19	3	CacheMisses	125
19	4	CacheHits	0
19	4	CacheMisses	125
20	0	CacheHits	0
20	0	CacheMisses	147
20	1	CacheHits	0
20	1	CacheMisses	98
20	2	CacheHits	0
20	2	CacheMisses	98
20	3	CacheHits	0
20	3	CacheMisses	100
20	4	CacheHits	0
20	4	CacheMisses	100
21	0	CacheHits	0
