Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.03135	0	1	0	LastDelay	0.0313515	31351.5	1	6
1.03135	0	1	0	FullDelay	0.0313515	31351.5	1	6
1.04155	0	1	1	LastDelay	0.0347211	34721.1	1	6
1.04155	0	1	1	FullDelay	0.0347211	34721.1	1	6
1.05494	0	1	2	LastDelay	0.0412876	41287.6	1	6
1.05494	0	1	2	FullDelay	0.0412876	41287.6	1	6
1.06703	0	1	3	LastDelay	0.0465478	46547.8	1	6
1.06703	0	1	3	FullDelay	0.0465478	46547.8	1	6
1.08541	0	1	4	LastDelay	0.0580986	58098.6	1	6
1.08541	0	1	4	FullDelay	0.0580986	58098.6	1	6
1.09572	0	1	5	LastDelay	0.0615821	61582.1	1	6
1.09572	0	1	5	FullDelay	0.0615821	61582.1	1	6
1.1059	0	1	6	LastDelay	0.0649376	64937.6	1	6
1.1059	0	1	6	FullDelay	0.0649376	64937.6	1	6
1.12136	0	1	7	LastDelay	0.0735692	73569.2	1	6
1.12136	0	1	7	FullDelay	0.0735692	73569.2	1	6
1.14305	0	1	9	LastDelay	0.0816072	81607.2	1	6
1.14305	0	1	9	FullDelay	0.0816072	81607.2	1	6
1.15397	0	1	10	LastDelay	0.0857069	85706.9	1	6
1.15397	0	1	10	FullDelay	0.0857069	85706.9	1	6
1.16307	0	1	11	LastDelay	0.0879783	87978.3	1	6
1.16307	0	1	11	FullDelay	0.0879783	87978.3	1	6
1.17385	0	1	12	LastDelay	0.0919318	91931.8	1	6
1.17385	0	1	12	FullDelay	0.0919318	91931.8	1	6
1.18743	0	1	13	LastDelay	0.0986862	98686.2	1	6
1.18743	0	1	13	FullDelay	0.0986862	98686.2	1	6
1.19655	0	1	14	LastDelay	0.100978	100978	1	6
1.19655	0	1	14	FullDelay	0.100978	100978	1	6
1.20835	0	1	15	LastDelay	0.10595	105950	1	6
1.20835	0	1	15	FullDelay	0.10595	105950	1	6
1.23621	0	1	17	LastDelay	0.120161	120161	1	6
1.23621	0	1	17	FullDelay	0.120161	120161	1	6
1.25715	0	1	19	LastDelay	0.127439	127439	1	6
1.25715	0	1	19	FullDelay	0.127439	127439	1	6
1.26934	0	1	20	LastDelay	0.132809	132809	1	6
1.26934	0	1	20	FullDelay	0.132809	132809	1	6
1.30523	0	1	23	LastDelay	0.148217	148217	1	6
1.30523	0	1	23	FullDelay	0.148217	148217	1	6
1.31441	0	1	24	LastDelay	0.150568	150568	1	6
1.31441	0	1	24	FullDelay	0.150568	150568	1	6
1.32349	0	1	25	LastDelay	0.152819	152819	1	6
1.32349	0	1	25	FullDelay	0.152819	152819	1	6
1.33254	0	1	26	LastDelay	0.155051	155051	1	6
1.33254	0	1	26	FullDelay	0.155051	155051	1	6
1.34964	0	1	27	LastDelay	0.165322	165322	1	6
1.34964	0	1	27	FullDelay	0.165322	165322	1	6
1.35874	0	1	28	LastDelay	0.167593	167593	1	6
1.35874	0	1	28	FullDelay	0.167593	167593	1	6
1.36792	0	1	29	LastDelay	0.169945	169945	1	6
1.36792	0	1	29	FullDelay	0.169945	169945	1	6
1.377	0	1	30	LastDelay	0.172196	172196	1	6
1.377	0	1	30	FullDelay	0.172196	172196	1	6
1.38623	0	1	31	LastDelay	0.174607	174607	1	6
1.38623	0	1	31	FullDelay	0.174607	174607	1	6
1.39549	0	1	32	LastDelay	0.177039	177039	1	6
1.39549	0	1	32	FullDelay	0.177039	177039	1	6
1.42835	0	1	33	LastDelay	0.203067	203067	1	6
1.42835	0	1	33	FullDelay	0.203067	203067	1	6
1.44316	0	1	34	LastDelay	0.211051	211051	1	6
1.44316	0	1	34	FullDelay	0.211051	211051	1	6
1.45386	0	1	35	LastDelay	0.214922	214922	1	6
1.45386	0	1	35	FullDelay	0.214922	214922	1	6
1.46436	0	1	36	LastDelay	0.218596	218596	1	6
1.46436	0	1	36	FullDelay	0.218596	218596	1	6
1.47511	0	1	37	LastDelay	0.222524	222524	1	6
1.47511	0	1	37	FullDelay	0.222524	222524	1	6
1.48421	0	1	38	LastDelay	0.224795	224795	1	6
1.48421	0	1	38	FullDelay	0.224795	224795	1	6
1.49329	0	1	39	LastDelay	0.227046	227046	1	6
1.49329	0	1	39	FullDelay	0.227046	227046	1	6
1.51432	0	1	41	LastDelay	0.234427	234427	1	6
1.51432	0	1	41	FullDelay	0.234427	234427	1	6
1.52506	0	1	42	LastDelay	0.238338	238338	1	6
1.52506	0	1	42	FullDelay	0.238338	238338	1	6
1.5358	0	1	43	LastDelay	0.242249	242249	1	6
1.5358	0	1	43	FullDelay	0.242249	242249	1	6
1.54959	0	1	44	LastDelay	0.249218	249218	1	6
1.54959	0	1	44	FullDelay	0.249218	249218	1	6
1.5671	0	1	45	LastDelay	0.259901	259901	1	6
1.5671	0	1	45	FullDelay	0.259901	259901	1	6
1.57712	0	1	46	LastDelay	0.263091	263091	1	6
1.57712	0	1	46	FullDelay	0.263091	263091	1	6
1.58856	0	1	47	LastDelay	0.267711	267711	1	6
1.58856	0	1	47	FullDelay	0.267711	267711	1	6
1.60105	0	1	48	LastDelay	0.273367	273367	1	6
1.60105	0	1	48	FullDelay	0.273367	273367	1	6
1.61271	0	1	49	LastDelay	0.278203	278203	1	6
1.61271	0	1	49	FullDelay	0.278203	278203	1	6
1.62647	0	1	50	LastDelay	0.285132	285132	1	6
1.62647	0	1	50	FullDelay	0.285132	285132	1	6
1.64949	0	1	51	LastDelay	0.301328	301328	1	6
1.64949	0	1	51	FullDelay	0.301328	301328	1	6
1.65972	0	1	52	LastDelay	0.304734	304734	1	6
1.65972	0	1	52	FullDelay	0.304734	304734	1	6
1.66894	0	1	53	LastDelay	0.307125	307125	1	6
1.66894	0	1	53	FullDelay	0.307125	307125	1	6
1.68017	0	1	54	LastDelay	0.311529	311529	1	6
1.68017	0	1	54	FullDelay	0.311529	311529	1	6
1.69021	0	1	55	LastDelay	0.314739	314739	1	6
1.69021	0	1	55	FullDelay	0.314739	314739	1	6
1.70084	0	1	56	LastDelay	0.318542	318542	1	6
1.70084	0	1	56	FullDelay	0.318542	318542	1	6
1.71494	0	1	8	LastDelay	0.312164	312164	1	2
1.71494	0	1	8	FullDelay	0.660324	660324	2	2
1.72539	0	1	57	LastDelay	0.33627	336270	1	6
1.72539	0	1	57	FullDelay	0.33627	336270	1	6
1.73927	0	1	58	LastDelay	0.343328	343328	1	6
1.73927	0	1	58	FullDelay	0.343328	343328	1	6
1.75107	0	1	59	LastDelay	0.341466	341466	1	6
1.75107	0	1	59	FullDelay	0.341466	341466	1	6
1.76403	0	1	60	LastDelay	0.347606	347606	1	6
1.76403	0	1	60	FullDelay	0.347606	347606	1	6
1.7746	0	1	61	LastDelay	0.351348	351348	1	6
1.7746	0	1	61	FullDelay	0.351348	351348	1	6
1.78485	0	1	62	LastDelay	0.354774	354774	1	6
1.78485	0	1	62	FullDelay	0.354774	354774	1	6
1.79493	0	1	63	LastDelay	0.358024	358024	1	6
1.79493	0	1	63	FullDelay	0.358024	358024	1	6
1.80994	0	1	64	LastDelay	0.366211	366211	1	6
1.80994	0	1	64	FullDelay	0.366211	366211	1	6
1.82034	0	1	65	LastDelay	0.369777	369777	1	6
1.82034	0	1	65	FullDelay	0.369777	369777	1	6
1.84156	0	1	67	LastDelay	0.377351	377351	1	6
1.84156	0	1	67	FullDelay	0.377351	377351	1	6
1.85447	0	1	68	LastDelay	0.383428	383428	1	6
1.85447	0	1	68	FullDelay	0.383428	383428	1	6
1.86371	0	1	69	LastDelay	0.385839	385839	1	6
1.86371	0	1	69	FullDelay	0.385839	385839	1	6
1.87519	0	1	16	LastDelay	0.370019	370019	1	2
1.87519	0	1	16	FullDelay	0.765966	765966	2	2
1.88429	0	1	70	LastDelay	0.399597	399597	1	6
1.88429	0	1	70	FullDelay	0.399597	399597	1	6
1.8954	0	1	18	LastDelay	0.383402	383402	1	2
1.8954	0	1	18	FullDelay	0.772522	772522	2	2
1.90972	0	1	71	LastDelay	0.418204	418204	1	6
1.90972	0	1	71	FullDelay	0.418204	418204	1	6
1.92	0	1	72	LastDelay	0.42165	421650	1	6
1.92	0	1	72	FullDelay	0.42165	421650	1	6
1.92919	0	1	73	LastDelay	0.410368	410368	1	6
1.92919	0	1	73	FullDelay	0.410368	410368	1	6
1.95403	0	1	75	LastDelay	0.42155	421550	1	6
1.95403	0	1	75	FullDelay	0.42155	421550	1	6
1.96315	0	1	76	LastDelay	0.423841	423841	1	6
1.96315	0	1	76	FullDelay	0.423841	423841	1	6
1.97695	0	1	21	LastDelay	0.423988	423988	1	2
1.97695	0	1	21	FullDelay	0.833588	833588	2	2
