Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
2	0	0	dev=net(0)	InInterests	0	0	0	0
2	0	0	dev=net(0)	OutInterests	117.6	4.13359	147	5.16699
2	0	0	dev=net(0)	DropInterests	0	0	0	0
2	0	0	dev=net(0)	InNacks	0	0	0	0
2	0	0	dev=net(0)	OutNacks	0	0	0	0
2	0	0	dev=net(0)	DropNacks	0	0	0	0
2	0	0	dev=net(0)	InData	60	62.4602	75	78.0752
2	0	0	dev=net(0)	OutData	0	0	0	0
2	0	0	dev=net(0)	DropData	0	0	0	0
2	0	0	dev=net(0)	InSatisfiedInterests	0	0	0	0
2	0	0	dev=net(0)	InTimedOutInterests	0	0	0	0
2	0	0	dev=net(0)	OutSatisfiedInterests	60	0	75	0
2	0	0	dev=net(0)	OutTimedOutInterests	0	0	0	0
2	0	1	dev=local(1)	InInterests	117.6	0	147	0
2	0	1	dev=local(1)	OutInterests	0	0	0	0
2	0	1	dev=local(1)	DropInterests	0	0	0	0
2	0	1	dev=local(1)	InNacks	0	0	0	0
2	0	1	dev=local(1)	OutNacks	0	0	0	0
2	0	1	dev=local(1)	DropNacks	0	0	0	0
2	0	1	dev=local(1)	InData	0	0	0	0
2	0	1	dev=local(1)	OutData	60	62.4602	75	78.0752
2	0	1	dev=local(1)	DropData	0	0	0	0
2	0	1	dev=local(1)	InSatisfiedInterests	60	0	75	0
2	0	1	dev=local(1)	InTimedOutInterests	0	0	0	0
2	0	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
2	0	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
2	0	-1	all	SatisfiedInterests	60	0	75	0
2	0	-1	all	TimedOutInterests	0	0	0	0
2	1	0	dev=net(0)	InInterests	84.8	2.98047	106	3.72559
2	1	0	dev=net(0)	OutInterests	0	0	0	0
2	1	0	dev=net(0)	DropInterests	0	0	0	0
2	1	0	dev=net(0)	InNacks	0	0	0	0
2	1	0	dev=net(0)	OutNacks	0	0	0	0
2	1	0	dev=net(0)	DropNacks	0	0	0	0
2	1	0	dev=net(0)	InData	0	0	0	0
2	1	0	dev=net(0)	OutData	84.8	88.2773	106	110.347
2	1	0	dev=net(0)	DropData	0	0	0	0
2	1	0	dev=net(0)	InSatisfiedInterests	84.8	0	106	0
2	1	0	dev=net(0)	InTimedOutInterests	0	0	0	0
2	1	0	dev=net(0)	OutSatisfiedInterests	0	0	0	0
2	1	0	dev=net(0)	OutTimedOutInterests	0	0	0	0
2	1	1	dev=net(1)	InInterests	0	0	0	0
2	1	1	dev=net(1)	OutInterests	84.8	2.98047	106	3.72559
2	1	1	dev=net(1)	DropInterests	0	0	0	0
2	1	1	dev=net(1)	InNacks	0	0	0	0
2	1	1	dev=net(1)	OutNacks	0	0	0	0
2	1	1	dev=net(1)	DropNacks	0	0	0	0
2	1	1	dev=net(1)	InData	0	0	0	0
2	1	1	dev=net(1)	OutData	0	0	0	0
2	1	1	dev=net(1)	DropData	0	0	0	0
2	1	1	dev=net(1)	InSatisfiedInterests	0	0	0	0
2	1	1	dev=net(1)	InTimedOutInterests	0	0	0	0
2	1	1	dev=net(1)	OutSatisfiedInterests	84.8	0	106	0
2	1	1	dev=net(1)	OutTimedOutInterests	0	0	0	0
2	1	2	dev=net(2)	InInterests	0	0	0	0
2	1	2	dev=net(2)	OutInterests	84.8	2.98047	106	3.72559
2	1	2	dev=net(2)	DropInterests	0	0	0	0
